as_of,control_id,title,domain,owner,review_cadence,automation_status,exception_allowed,objective,evidence_count,expected_evidence_providers,evidence_providers,missing_evidence_providers,evidence_owners,evidence,exception_count,exceptions
2026-09-18,MCTC-COST-01,Cloud Spend Is Allocated And Owned,FinOps and cost governance,Platform / Finance / Service owners,Monthly,Partial,true,"Make cloud spend attributable to accountable teams, services, and environments.",1,aws; gcp; common,common,aws; gcp,Platform / Finance,EV-COST-001 [common] (needs_review),0,
2026-09-18,MCTC-COST-02,Budgets Forecasts And Cost Anomalies Are Reviewed,FinOps and cost governance,Platform / Finance / Service owners,Monthly,Partial,false,Detect material cost variance early enough for accountable teams to respond.,1,aws; gcp; common,aws,gcp; common,Platform / Finance,EV-COST-002 [aws] (pass),0,
2026-09-18,MCTC-COST-03,Cost Optimization Decisions Protect Reliability,FinOps and cost governance,Platform / Finance / Service owners,Monthly,Partial,true,"Reduce avoidable spend without trading away required performance, resilience, or recovery capacity.",1,aws; gcp; common,aws,gcp; common,Platform / Finance / Service owners,EV-COST-003 [aws] (needs_review),1,"EX-COST-001 (approved, expires 2026-12-31)"
2026-09-18,MCTC-EVD-01,Evidence Is Source-Linked And Repeatable,Incident response and evidence handling,Security / Compliance / Platform,Quarterly,Manual sample,true,Make compliance evidence reproducible instead of screenshot-driven.,1,common,common,,Security / Compliance / Platform,EV-EVD-001 [common] (pass),0,
2026-09-18,MCTC-IAC-01,Infrastructure Changes Are Reviewed And Versioned,Infrastructure as code,Platform,Monthly,Manual sample,true,Make infrastructure changes reviewable and reproducible.,1,common,common,,Platform,EV-IAC-001 [common] (pass),0,
2026-09-18,MCTC-IAM-01,Privileged Access Is Restricted,Identity and access,Security / Platform,Quarterly,Partial,true,Limit privileged access to approved users and roles.,1,aws; common,aws,common,Security / Platform,EV-IAM-001 [aws] (pass),0,
2026-09-18,MCTC-IAM-02,Human Access Uses Central Authentication,Identity and access,Security / IT,Quarterly,Partial,true,Ensure human access is centrally managed and auditable.,1,aws; common,common,aws,Security / IT,EV-IAM-002 [common] (needs_review),1,"EX-IAM-001 (approved, expires 2027-09-18)"
2026-09-18,MCTC-LOG-01,Cloud Audit Logs Are Enabled And Retained,Logging and monitoring,Security / Platform,Monthly,Partial,false,Maintain a reliable audit trail for cloud activity.,4,aws; gcp; common,aws; common,gcp,Security / Platform,EV-LOG-001 [aws] (pass); EV-LOG-002 [aws] (needs_review); EV-LOG-003 [common] (pass); EV-LOG-004 [common] (pass),0,
2026-09-18,MCTC-NET-01,Internet Exposure Is Approved And Documented,Cloud network exposure,Security / Platform / Application team,Monthly,Partial,true,Reduce unintended public exposure of cloud resources.,1,aws; common,aws,common,Security / Platform / Application team,EV-NET-001 [aws] (needs_review),1,"EX-NET-001 (expired, expires 2026-08-15)"
2026-09-18,MCTC-VULN-01,Vulnerability Findings Are Triaged And Remediated,Vulnerability and configuration management,Security / Platform / Application team,Monthly,Partial,true,"Ensure vulnerability and configuration findings are reviewed, owned, and remediated within defined expectations.",1,aws; common,aws,common,Security / Platform / Application team,EV-VULN-001 [aws] (needs_review),1,"EX-VULN-001 (expired, expires 2026-09-15)"
